overview,media,source
,"PRYANS News24 news24 @News24 and surging prominence of the Cape Independence Lennit Max of the Freedom Front Plus (FF PLUS) and Ph Craig of the Referendum Party at The Commodore Hote in Cape Town. The primary agenda of the meeting As of now, all participating parties have opted to withhold comments on the matter. Commetter Helet",Twitter/X
Post on 'X' (Twitter) refers to immigrants using a hateful trope,"Freeman Bhengu @zibuseman . 6d From now until I die, I will make sure that SofaSonke Party is at the forefront of amakwerekwere. IQINISO SFS IQInISO-NNETE-NTIYISO ild 1,5K",Twitter/X
"Freeman Bhengu reposted a tweet containing derogatory remarks against individuals of Shona descent, referring to them as ""loudmouth bastards"" and ""monkeys pretending to be human.""","tz Bambatha Follow @Bhambat28212406 Replying to @Eye_vm and @zibuseman A shona is nothing but a loudmouth pretending to be human, it makes",Twitter/X
The complaint is about a tweet by Freeman Bhengu indicating a threat of retaliation against individuals who obtained a protection order to safeguard Nicole Fritz,"Freeman Bhengu Follow @zibuseman Mina I am very revengeful, I don't forgive and try not to forget, I am an eye for an eye person, so to those who fuxked us one day it will be my turn. No mercy or remorse. SofaSonke SOFABERKE PARTY SOFASONKE IQINISO SFS IQINISO-NNETE-NTIYISO",Twitter/X
,Meladi 'a Ngoato @_MeladiM these stats? sheesh. SAICA DIFFERENCE MAKERS By Race & Gender Male Female Total Race Pass Total % Pass Pass Total % Pass Pass Total % Pass African 41% 37% 39% Coloured 51% 47% 49% Indian 66% 55% 60% White 78% 74% 76% Not disclosed 29% 33% 31% Grand Total 57% 48% 52% Male Female Total Race Pass Total % Pass Pass Total % Pass Pass Total % Pass African 45% 45% 45% Coloured 61% 58% 59% Indian 70% 67% 68% White 79% 76% 78% Not disclosed 100% 100% 100% Grand Total 60% 56% 58%,Twitter/X
The complaint is about a posted video said to be mis/disinformation.,MphoD @mphodagada They are already trying to STEAL this ELECTION! JN,Twitter/X
,"Freeman Bhengu @zibuseman . 14h So that bloody feminist magistrate, decided to hit me with a five years protection order against you know who, but it still open season to all directors of NGOs, even the new Helen Suzman foundation CEO must not rest. Didn't go as planned and I have 15 days to appeal decision. Q 5 ild 1,4K",Twitter/X
,"Dallasi @DallasMaloca . 15h IEC n many of our institutions r owned by WMC, by extension WEF n NWO agents, n they won't remove @MYANC from power for as long as it serves Morning ,my leader, I have just been briefed,Motlanthe,Obasanjo,Bhejane Chauke and MBALULA met on the the Agenda was Rigging the election. EC together with the AU observers have all been bought,CIA and it's technology agents will twick the results on screen and the IEC CHAIR will read a 52,5% win for the ANC. They are also trying to infect President Zuma with a they plan to release into the air, in one of the gatherings so that he can inhale it. L7 1 ill 67",Twitter/X
,"ThabzAfrikai @ThabzAfrika . 4d Stellenbosch/CIA and George Soros that control @MYANC have spoken. They don't trust Mashatile, they want to protect Cyril and want to impose John Steenhuizen as Cyril Ramaphosa's deputy president #2024isOur1994 #EFFin2024 Sunday Times ANC VETS TURN UP HEAT ON MASHATILE",Twitter/X
,ThabzAfrikai Follow @ThabzAfrika Proud and loyal Tintswalo Defence Force Noetsel kRediTlhati! belsekcusebiusMcKaiser #Noetsek JusticeMalala! FerialHaffajee! A rogues gallery of #WMC hacks. Let's name and shame them and add more names,Twitter/X
"The complaint concerns a tweet which alleges that the Democratic Alliance (DA) party has more registered voters than the African National Congress (ANC). The complainant asserts that this claim constitutes misinformation, as party membership or voting intentions are not disclosed during the voter registration process. ","Dr. Sithembile Mbete @sthembete misleading. They can't know who new registrations are ""for"". BREAKING NEWS DA outperforms ANC in The stakes have never been higher. For the first time ever, the been for the DA and just 33% have been for the ANC. The only thing that stands between South Africa and success is DA Get help registering to",Twitter/X
The complaint revolves around an assertion made by Truthpanther claiming that SERI (fictional organization or entity) is colluding with lawyers who receive payment from criminal syndicates. ,"it LTÉ all He alleged that some lawyers receive payments from the criminal syndicates overseeing the hijacked buildings, pledging legal action against them. taken over by criminal syndicates and rented to desperate occupants, predominantly illegal migrants from other African countries. fire-in-hijack.. SERI socio-economic rights institute",Twitter/X
"The complaint addresses a tweet by Sihle Mavuso alleging false information about the PAC's deputy Secretary-General. It highlights that Mr. Mavuso's claim contradicts the PAC's officially recognized leadership and poses reputational harm to the party, potentially misleading voters during an election year.","Sihle Mavuso Follow @ZANewsFlash party President Mzwanele Nyhontsho and his mooted collaboration pact with the MK Party backed by former President Jacob Zuma. The faction led by Mbuso Dlamini, the party's deputy Secretary-General, says they remain opposed to any party that subscribes to the Freedom Charter as the ""betrayal"" in 1955 and in the 1990s (during CODESA) stems from it. 5. As for Mr Jacob Zuma, the man has been quoted on several occasions saying he is still a member of the African National Congress and he will not for it but for the MK party instead. This clearly indicates that there is no difference between the MK party and the ANC. Any talks with the MK party are as the Office 203. 2nd Floor, same as talking to the ANC and therefore we cannot have talks with the MK The Main Change Bld. 20 Kruger Street, Maboneng them look different Johannesburg admin@@pacofazania.org.za 6. The PAC adopted the ""principle of non-collaboration"" many years ago and OFFICE OF THE DEPUTY SECRETARY GENERAL and Apa Pooe to sell the PAC to reactionary and charterist organisations and 12 JANUARY 2024 fold our arms, we will defend the PAC at all costs. TO Mouso Dlamini RE We as the Pan Africanist Congress of Azania have noted with great concern and shock the visit of Mr Mzwanele Nyontso who claims to be the president visit to Inkandla (Mr Jacob Zuma's compound) where we are told that discussions on cooperation were discussed 1. We hereby distance the PAC of Azania from this visit the touted unity talks, we remain diametrically opposed to any party that subscribes and promotes the sell-out document called ""Freedom Charter"" as is the case with the MK party and its leaders We remain convinced that our betrayal both in 1955 and 1990's stems from the Freedom Charter. 2. At the core of our struggle as the PAC remains the land which was, and continues to be prostituted by the Freedom Charter which has been entrenched declaring our country a no-man's land 2/4 @PACAZANIAS9 PacHeadOffice Facebook Page PAC Today All Rights reserved. 1/4",Twitter/X
"The complaint concerns a social media post by independent journalist Sihle Mavuso, alleging a collaboration pact between the Pan Africanist Congress of Azania (PAC) and the MK Party, backed by former President Jacob G. Zuma.","57% K/s MUCK RACK Sihle Mavuso Verified Writer, Freelance Durban, South Africa MSN South Africa, Business Report, Cape Times South Africa, Daily News SA, IOL Entertainment, The Mercury (South Africa), The Star (South Africa), Weekend Argus, IOL News, Energy Central and more tech.",Twitter/X
The complaint is about a tweet that incites violence by advocating for Zimbabweans involved in alleged illegal mining to face consequences.,"LTÉ Concerned Citizen Concerned Citizen @CRangataJ . 1d If Zimbabweans want to steal, then they must also face the consequences. Indians and whites walk out of their airports with their minerals, freely but they cross rivers to come and take ours here. Why don't they do it in Zimbabwe? MASENYA. @maseny. . 1d Come and Mine X Chrome illegal here in Burgersfort, you will meet them. They will marinate you!! go",Twitter/X
The complaint is about a Tweet that seems to be justifying Hilter's actions during the Holocaust.,TS Maloka Follow ... @Senzile84455826 Now I understand why he did what he did Q.,Twitter/X
"This complaint highlights a tweet issued by Operation Dudula, warning illegal immigrants of a dire 2024. Such language, coupled with the group's history of vigilante xenophobic actions, raises serious concerns of incitement to violence against immigrants.",Dudula News Follow DUDULA ISSUES A WARNING! Operation Dudula has bad news for all illegal immigrants who were celebrating last night hoping for a better 2024. South Africa is going to be a hell for them. Their future in SA is bleak! DER RN NG HLA SOUTH HANCA,Twitter/X
The complaint is about a tweet containing a video is spreading a baseless conspiracy theory alleging that Minister Aaron Motsoaledi is in a coma due to poisoning. ,tt Koketso Tlakame @KTlakame . 17h Poison by mbalula Freeman Bhengu @zibuseman . 1d Breaking News about minister of @HomeAffairsSA Dr Aaron Motsoaledi - rumour mills say he has been poisoned. let US pray for ild 317,Twitter/X
The complaint addresses a tweet that dismisses the significance of attacks on journalists by questioning their identity and affiliation with the Ankole Defense Force. ,news Jed @Jed38111039 force? Eyewitness News 0 @ewnu... . 08 Aug 22 will tell our stories? dlvr.it/SWFsDQ Discover more Sourced from across X Jed @Jed38111039 . 1d,Twitter/X
"A tweet falsely refers to President Cyril Ramaphosa as an agent, likely insinuating involvement in espionage or other covert activities.",LTÉ all Gorgias71 Follow @GloriaKhuzwayo they call this agent our president..never. our MK we fix this nonsense soon KHEBOKSK go Jack Mash @Jack_Mash. Replying to @GloriaKhuzwayo This is what happens wherever Cyril is,Twitter/X
The complaint is about a tweet that used a screenshot alleging that the account @goolammv is operated by Tasneem Carrim of the GCIS (Government Communication and Information Services). ,"Bhutie @Bhutie181 . 1h Replying to @goolammv Slave @Tlhalefi2 . 2h THIS IS AN INDIAN LADY CALLED HERSELF GOOLAM ON (TWITTER) X, SHE IS RACIST TO THE CORE. SHE ENJOYS THE MISERY EXPERIENCED BY AFRICANS SHE WORKS FOR THOSE WHO OPPRESSED US. WE DID NOT FORGET PHOENIX MASSACRED PERPETRATED BY INDIANS fi @eyyano ild 158",Twitter/X
"The complaint concerns a tweet that erroneously labels reputable news sources as ""fake news outlets,"" while promoting unspecified, potentially unreliable sources.",LTÉ all Sesinga Mavikithi Follow @themankhosi Fake News Outlets in South Africa 1) News24 2) Die Burger 3) Rapport 4) RSG 5) Jacaranda FM 6) Power FM 7) eNCA/ eNuus 8) The Citizen 9) Sowetan 10) Moneyweb 11) My Broadband 12) Daily Investor 13) BusinessTech 14) Daily Maverick 15) Mail and Guardian 20 Bookmarks,Twitter/X
,"Comrade watchdog_za @watchdog_za out of the woodwork again? Oo OPEN SOCIETY FOUNDATIONS capeindependent.com Foreign-funded NGO renews announcement of IEC partnership with foreign tech giants tie... Comrade watchdog_za @watchd.. 4d Replying to @watchdog_za ""The IEC has partnered with a",Twitter/X
"The complaint addresses a threatening tweet made by David Skosana, the partner of Busisiwe Mkhwebane, towards Marianne Thamm. The threat occurred following Daily Maverick's announcement that Mkhwebane had won the 'kant' of the Year award, suggesting a potential act of retaliation or harassment against a journalist for reporting on Mkhwebane's recognition.","David Skosana @mazolman63 . 6h This one will regret big time, surely I don't have adjectives to describe her now however she won't have a place to hide her racist nonsense.Its just a question of time. Mkhuzeni ngoba useyinyathele emsileni. DAILY MAVERICK DEFEND TRUTH + FOLLOW Marianne Thamm",Twitter/X
"The complaint highlights a TikTok video by an individual identifying himself as Jonathan Barron Rothschild, who falsely claims to have legal representation fighting for undocumented foreigners in South Africa. The video, suspected to be a scam, misleads vulnerable individuals by promising legal assistance to avoid deportation without any genuine association with reputable law firms. ","LTÉ all Following For You Undocumented TikTok Bonus Foreigners, we winning RAUNY miturna ... OneAfrica we leading in making sure undocumented foreigners get legally documented Home Friends Inbox Profile",Twitter/X
,"Mr G, ZAR Colonial Subject @SeanGoss666 #Loadshedding scam came to a screeching halt..Electricity supply is needed for equipment and bandwidth , as spying and surveillance by Ankole, Dollar smugglers, Thumaminions and Rogueunit goes in to overdrive. The MK Party has them shitting themselves! @Jagman4sho",Twitter/X
,"Azania @azania1023 . 16 Dec Opposition Parties funded by the West and Anti Zuma NGO's formed a pact. What will stop EFF, ATM, PAC, Umkhonto WeSizwe, ACT, SCM And AZAPO to form a pact too? ild 2612 oupa mofokeng Follow @bmofokeng6 Replying to @azania1023 Funded by the stratcom,",Twitter/X
,"Top Latest People misinformation... LV ild 19 David Skosana @mazolman63 . 2d the world that this Gupta brothers were arrested in Dubai and will be brought back to SA to face the music.Karyn & SA trophy LV49 ild 4891 Iris Schneider @IrisEllen0355. . 20h Every day they walk through the fire guns in their hands, fighting for our freedom and independence.",Twitter/X
"The complaint concerns a tweet, purportedly from Iqbal Surve, alleging that Daily Maverick is funded by the CIA. ",all DR. IQBAL SURVÉ @IqbalSurve Firstly the playbook was initially used by the CIA in South America and subsequently adopted by apartheid era security forces under the guise of stratcom. This plan is now used by You can reply Accounts@lqbalSurve follows or mentioned can reply. DR. IQBAL SURVE @IqbalSurve . 4d Replying to @lqbalSurve Stage1. Smear the target using half truths maximum damage including bots and trolls. A highly paid team is put together focusing on the target.,Twitter/X
The complaint addresses a tweet that casts doubt on the Independent National Congress's (INC) assertion that the upcoming elections will not be susceptible to rigging.,it LTÉ all The Special one @Nhleiks5 Yeah right! SUNDAY WORLD IMPOSSIBLE TO RIG POLLS IEC an,Twitter/X
"The complaint addresses a tweet urging people to join a ""war"" against illegal immigrants, concerning upcoming elections. ",@Kommander Josh @Kommand All South Africans must Exercise to Join the War Against Illegal immigrants next year. Run 5 kilometres daily Get #Operation Dudula membership Thank me Later. Two Enemies will be Defeated Next Year. 1. Anc 2. Illegal Immigrants. #ZaharaFuneral WC 17.8 1.1.2.437,Twitter/X
"The complaint addresses a tweet that encourages violence against immigrants, specifically connecting this call to action with the approaching 2024 elections. ",Emperor Of Johannesburg and Roux ACT AS ONE @Kommander Josh @Kommander Josh Fighting Illegal immigrants must be a Fight them in Schools Fight them in Hospitals Fight them at Restaurants Fight them at Shopping Malls Fight them at Funerals Intensify the Fight as we move towards 2024 Elections #OperationDudula SABC Funeral service for Zahara NEWS SABCNEWS.COM BREAKING I Nine people die in two separate crashes in Mpumalanga III,Twitter/X
,David Seleka @Ashanti46034923 . 9h That the only way to go my brother we cannot be disrespected in our country by animals Freeman Bhengu @zibuseman . 9h foreigners will hear us is if we become physical. CT2 ill 135 Freeman Bhengu @zibuseman . 9h foreigners will hear us is if we become physical. L214 ild 1679,Twitter/X
"Freeman Bhengu's tweet contains a threatening message directed towards immigrants, insisting they must leave. ","Thabang Lulama @LulamaThabang . 1h Were going to fuck them up one day Freeman Bhengu @zibuseman . 2h Dear illegal foreigners and those considered legal but have acquired illegally, again I am warning you start packing because South Africans are all saying its time you all went ho.. ild 58",Twitter/X
The tweet in question contains a derogatory and racist term directed at Mondli Makhanya.,LTÉ all It Top Latest People ThabzAfrikai @ThabzAfri... . 10h Race extremism. Nothing he says is genuine and he must be understood for securing the bag Redi Tlhabi Bongani Bingwa Khaya Sithole Palesa Morudu Chris Moroleng @Radio702 City City Press @City_Press . 2d Press opponents as enemies is lazy and III,Twitter/X
,"Rider @riderhousemania . 5h No... South Africans, it's time to stand up now. This bullying has to come to an end! Why CIA??? They want to rig the elections No!!! Banele 0 @Gentlements . 7h The IEC has decided to work with the OPEN SOCIETY FOUNDATIONS PRINCE The Independent Electoral Commission of South Africa (IEC) has decided to welcome American state security into our electoral system. It should be said that we have experienced a note claiming to be from DA MP Glynnis Breytenbach, in which it was claimed tha 17 11 0 15 il 575 go",Twitter/X
,Banele 0 @Gentlements . 10h known CIA agent He was the messeger as IFP Youth in many people. He is a known murderer who was protected by the Apartheid regime. ISALE 1 LV216,Twitter/X
,"Pinned H.M Smith @Stoute_SA . 14 Oct 22 [Independent Analysis - The State of In August 2022, We learnt about a Secret Club of Editors who allegedly attend monthly ""On the rocks and off the record"" CIA sponsored private meetings at luxurious hotels in Cape Town. STRATCOM HITMAN ALT LV 464",Twitter/X
,"@BREAKING NEWS-ALLEGEDLY @DKNMOHAMMED Dear South Africans, BECAUSE THEY WILL BE ""RIGGED""!!!! Kind Regards. t year's elections should be sponed, says former Statistician- tician-General Dr Pa last 15 years have bee uth Africa's democra in/ Sandile Ndlovu)",Twitter/X
The  complaint is regarding the suggestion of white people being killed as part of genocide and the use of the old South African flag being considered hate speech.,"Paul Golding Follow @GoldingBF Please say a prayer for the white minority in South Africa who are suffering daily murder, discrimination and oppression. This Christmas, spare a thought for a kindred community that is under siege. They are suffering racist genocide at the hands of a murderous regime. #WhiteGenocide",Twitter/X
,"Mzwanele M... Follow @MzwaneleM... We can end Western Cape DA arrogance in a flash. Everyone from the Eastern Cape can find a relative to Cape Town. enough, we'll still have more than enough people in the EC.",Twitter/X
,"Izwe Lethu Under me, Koko, engineers & staff. We stopped load shedding on 8 August 2015 for 3yrs after I left Load shedding came back after Cyril Ramaphosa following R1bn Nasrec Conference. He appointed Pravin Gordhan. SOEs are to be sold to private interests IN",Twitter/X
,"""I'm prepared to talk to people who want Constitutional change. If Mandela said he wants Constitutional change? ""He doesn't want it. He's in jail because he took certain steps as far as legislation."" NATIONAL",Twitter/X
The tweet in question disputes a court ruling concerning the height of trains operated by PRASA (Passenger Rail Agency of South Africa). ,"Izwe Lethu PRASA paid R2.6bn for locomotives, 13 were sent to SA Court said those locomotives were too tall, they can't go through underneath the bridge in SA. The truth is, those locomotives are not tall not to go under the bridge. #PhalaPhalaFarmGate MBALULA GIVES UPDATE ON PRASA eNCA",Twitter/X
"The complaint concerns a defamatory tweet targeting journalist Pieter Louis Myburgh in response to his comment regarding the PRASA trains. The tweet, referring to Myburgh as ""Satan"" and a ""hitman who cooks up lies,"" implies unethical behavior by suggesting he takes bribes. ","Getrude Nkarabe @GetrudeNkarabe bonus if you t successful. We know the truth about your nonsense talk train rubbish myth. Futsek mgodoyi PRASA paid R2.6bn for locomotives, 13 were sent to SA Court said those locomotives were too tall, they can't go through underneath Show more MBALULA GIVES UPDATE ON PRASA eNCA",Twitter/X
,"Great Zulu @SuperiorZulu It's just interesting that the designs match the so-called ""tall trains"" built by Lucky Montana administration under President Zuma which the Clayson Monyela @ClaysonMonyela . Dec 2 From 6 December 2023, Shosholoza Meyl will resume the Joburg to Durban Cape Town long-distance train services. The services were suspended in 2021 R430 Economy Class (Sitter) & R690 (Sleeper). Jozi to. Show more prasa #PeoplesTrain vi",Twitter/X
"The complaint concerns a tweet from an account that purports to be a parody news source but often skirts community guidelines by using the word ""allegedly."" The tweet suggests that the entire R500 billion in Covid relief funds is missing, implying theft. ","@ BREAKING NEWS-ALLEGEDLY @DKNMOHAMMED SOUTH AFRICANS ARE ASKING WHERE IS THE ""MONEY"" CYRIL?? NET CYRIL WHERE'S THE 500 R62 999 515 000 from the IMF. R14 653 250 000 from the New Development Bank. R500 000 000 000 from the National Budget. DETT SINCERELY",Twitter/X
,Dudula News TOLEN SA RAILWAYS JOINING MOZAMBIQUE AND ZIM,Twitter/X
The complaint pertains to a tweet containing a link to an article that has been debunked by AfricaCheck as disinformation regarding SASSA grants. ,"Sir Cabonena Alfred @alfred_cabonena Article by Gaynor Ungerer with the current SASSA grants available to citizens, foreigners, and refugees. There are nine grants managed by SASSA, namely the Care Dependency For this exercise, we will be focusing on how the Child Support Grant (R480 + R240 CSG) in conjunction with the Foster Child Grant (R1 050) enables six non-citizen adults and four children to draw a combined R38 520.00 each month. requesting me to help him with paperwork for his wife to enable her to winelands, and his wife is back in Zimbabwe. She visited South Africa a year ago, heavily pregnant, and left to go back came here specifically to give birth for the sole purpose of accessing the grants. These babies are known as ""anchor babies"". They also have a 'brother' in the winelands who also has a wife and a I was astonished to read on SASSA's website that no more than six people can apply for Foster Child Grant per child. Six people, I asked? How can six people apply for a care grant for one child. But wait, let me three days in a month-cycle or say you look after a specific child for",Twitter/X
,CHO,Twitter/X
,"Spotify ADVISORY Your top song was Company by AKA, KDDO You played it 87 times this year, starting on 23 February. And it still sounds perfect. Share this story",Twitter/X
"The complaint is about a post on social media features a manipulated image of a Democratic Alliance (DA) poster with the message ""Vote for DA and keep the land away from blacks."" ",@BREAKING NEWS-ALLEGE.. Follow ... @DKNMOHAMMED SHOCKING!!! @helenzille DID YOU APPROVE THIS? DA DA AND KEEP THE AWAY LAND FROM BLACKS DA REGISTER TO WHITE PRIVILAGE DA,Twitter/X
"The complaint is about Rutendo Matinyarare has been consistently creating graphics and content across platforms, particularly on TikTok, falsely alleging that the Democratic Alliance (DA) will spread diseases such as HIV. ","Rutendo Matinyarare @matinyarare THEY TRIED TO KILL YOU BEFORE, WHY WOULDN'T THEY NOW? #KaffirKiller diseases and Saimr even went as far as vaccinating black SA. Many of those doctors are still practicing today and their prominence will grow if DA gets anywhere close to national power. EFF will give power to ""if you want us give you more HIV and mining diseases tz",Twitter/X
"The complaint is about the ANC member social media page that shared a graphic on social media falsely stating that the Democratic Alliance (DA) and ActionSA received zero votes in the recent ward 41 by-election in Msunduzi, KZN. ","ANC SECRETARY GENERAL I fikile Mbalula @MbalulaFikile ANC has won Ward 41 Msunduzi By-Election with an overwhelming victory. #ANCAtWork MSUNDUZI WARD Thank the you AFRO FORW BY-ELECTION RESULTS ANC = 2 428 EFF = 327 IFP = 219 DA = 0 ACTION SA = 0 ANC ANC The Year of Decisive Action To Advance the People's Interests Issued by ANCKZN, Dr Pixley Ka-Isaka Seme House and Renew our Movement 190 Stalwart Simelane Str, North Beach Durban 4001",Twitter/X
,"Top Latest People Photos Videos Ronald Boboff @BoboffR . 2023/11/03 I know about this only too well - -this was the joy experienced by those who swallowed the proxies -sexual predator Tony Beamish and the SA Jewish Report's Krost who refuses to Gail Alfar @GailAlfa.. . 2023/06/12 Replying to @JonathanShedler The German word Schadenfreude has no interesting meaning. schadenfreude Joy derived from the misfortunes of ot... About Schadenfreude is the experience of pleasure, joy, or self-satisfaction that comes from learning of or witnessing the troubles, borrowed word from German, with no direct translation, that originated in the 18th century. Schadenfreude has been detected in children as young as 24 months and may ""inequity aversion"".",Twitter/X
"The complaint pertains to the sharing of the old South African apartheid flag, which has been legally deemed as hate speech.","11.14 NatzTM Afrikanerhart #Stop... Follow @StopPlaasmoorde Mine is not hateful and caused wayyyyy less deaths. ""Uit die blou van onse hemel, Uit die diepte van ons see. Oor ons ewige gebergtes, Waar die kranse antwoord gê""",Twitter/X
,"Natasha Mazzone @NatashaMazzonet . Apr 21, 2021 All black people in the DA are just experiments. No matter how racist we are to them they still follow us pathetic.",Twitter/X
,Sit back and relax while the magic happens. (b)),Twitter/X
,"No SIM 39% @CityPowerJhb @CityPowerJhb #JoburgUpdates #HursthillSDC Melville The generator that has been installed to provide temporary supply of electricity has fault. The mechanic is on site and has been process of fixing the generator is ongoing, We apologise for the inconvenience caused. LP",Twitter/X
,"Timbo, I don't know you but next time, try not to be so obvious. LV @Captim3 Lol dude, I don't know how you think those videos are fake , watch this one to the end and Then tell me how it's fake odapay 0",Twitter/X
,"Sihle Ngobese Beautiful scenes in the city of Johannesburg, South Africa! Stand strong #Israel!",Twitter/X
,"Inv V CNBC 0.31 KB/S ExposingTR... Follow tz ExposingTRUTH @P... . 10h 4 DA officials have been arrested by the Hawks at the ... hours ago It's the 5th DA Western Cape been caught with more than R2 Laptops, hard drives have all been siezed NCC says they have more evidence Vimlesh Rajba... Replying to @dailymaverick",Twitter/X
,"Gayton McKenzie @Gayton... 18 Sep Fighting illegal immigration is fighting crime, overcrowded hospitals, overcrowded prisons, inadequate healthcare, unemployment, drug abuse, cable theft, when I tweet abt illegal immigration I tweet abt all above mentioned. I hope you see now what a big problem you ppl are in SA. L7585 ild 100K Gayton McKenzie @Gayton... 18 Sep The entitlement of illegal foreigners will come to an abrupt end the day after the election, this is the day that you will see how tired the majority of South Africans are of you bloodsuckers and destroyers of South Africa @OnsBaizaNie 1 463 ill 84,2K",Twitter/X
